Urban_geoid,slope_CUHI_day,slope_CUHI_night,slope_SUHI_day,slope_SUHI_night,Urban_name,Clim_zone,Coastal?
51364,0.007176531518898741,-0.013801369919633138,-0.026827713129399158,-0.03231785145236702,"Lorain--Elyria, OH",Snow,False
51445,-0.01866657928048746,-0.005605886124308334,-0.04022675981251887,-0.003134511559497462,"Los Angeles--Long Beach--Anaheim, CA",Temperate,True
51499,0.03530700515434857,0.034116075494823234,0.10510533596713612,-0.010085169002753873,"Los Lunas, NM",Arid,False
51755,-0.00022425729415538544,-0.006498602674692362,-0.009907278781969215,-0.01406507095458467,"Louisville/Jefferson County, KY--IN",Temperate,False
51877,-0.007994442019787034,-0.006184253019160071,0.021779843901221226,-0.002564079505646284,"Lubbock, TX",Arid,False
52201,0.008684449768542345,-0.015684370341697406,-0.04399263902030429,-0.022466863366444156,"Lynchburg, VA",Temperate,False
52390,0.008388150048402767,0.003377368950300101,0.0010484965045745613,0.012501103558128559,"McAllen, TX",Arid,False
52687,0.006972815894659629,-0.001631637158472665,0.039200154118084814,0.00506024087936045,"McKinney, TX",Temperate,False
52822,0.0029735818875943607,-0.006849501195438909,-0.026598307521807495,-0.030850630533844247,"Macon, GA",Temperate,False
52984,-0.059763239174978666,-0.034982780921630395,-0.11342383240629964,-0.06416798521332114,"Madera, CA",Arid,False
53200,0.009372134651532978,0.0007529102798401454,-0.019476758916195918,-0.014222465666238462,"Madison, WI",Snow,False
53740,-0.025467890661454638,-0.02005354613613123,-0.09280519393909689,-0.03383165221567358,"Manchester, NH",Snow,False
53794,-0.001972106937671948,0.003026565597336695,0.03787222903206042,0.008454512611098884,"Mandeville--Covington, LA",Temperate,True
53848,-0.017360301460516224,-0.015898073043779694,-0.09818722347679441,-0.05380250014618836,"Manhattan, KS",Temperate,False
53983,0.01979426235231086,-0.02140760988349298,-0.18615484452199227,-0.08452329392495739,"Mankato, MN",Snow,False
54091,0.006543771814259732,-0.037989269097807955,-0.026618466775081714,-0.04888293938028954,"Mansfield, OH",Snow,False
54145,-0.06196584901162349,-0.027222688129445723,-0.11354450312904286,-0.013064177269821778,"Manteca, CA",Temperate,False
55333,-0.007187370651157855,-0.021729952537234917,-0.06947107018857619,-0.0097136006231202,"Marysville, WA",Temperate,True
55603,0.008914492831161388,0.008056418507228387,0.04107928543891244,0.013875613060708322,"Mauldin--Simpsonville, SC",Temperate,False
55738,0.006389120927540443,-0.00979645546969163,0.017257402090376676,0.032523468730978625,"Mayagüez, PR",Tropical,True
55981,-0.08377073508312256,-0.045363904013898414,-0.11038249398330373,-0.019547867989334528,"Medford, OR",Temperate,False
56116,-0.0003132599438181285,-0.0036659080057181927,-0.016296172651919683,-0.005101512664658311,"Memphis, TN--MS--AR",Temperate,False
56251,-0.009518394403535491,-0.006033651518516671,-0.06629516188543308,-0.024433826649964883,"Merced, CA",Arid,False
