Urban_geoid,slope_CUHI_day,slope_CUHI_night,slope_SUHI_day,slope_SUHI_night,Urban_name,Clim_zone,Coastal?
13510,-0.0005769422952938016,0.005092500228479394,-0.03124032177617952,0.014498542582816461,"Cape Coral, FL",Temperate,True
13537,-0.014382905445725723,-0.032038779066335496,-0.14089094293345658,-0.08351450572552194,"Cape Girardeau, MO--IL",Temperate,False
13591,-0.01228462187359865,-0.005822652622755816,-0.08739238016911874,-0.015507537645327698,"Carbondale, IL",Temperate,False
14158,-0.11645369602546318,-0.05158330227473175,-0.2625405774023031,-0.03937889805535822,"Carson City, NV",Temperate,False
14185,-0.012871584851615568,-0.015570156961854015,-0.13598619729575548,-0.03637774351977373,"Cartersville, GA",Temperate,False
14401,-0.0028074606060672328,0.032727746076799076,0.03516745637139488,0.047872184883098405,"Casa Grande, AZ",Arid,False
14482,-0.026012107662451683,-0.009104226637994647,-0.07738650470725844,0.00285031644477229,"Casper, WY",Snow,False
14752,-0.013594460119435355,-0.015692951952149495,-0.13528194591961476,-0.041574983020048584,"Cedar Rapids, IA",Snow,False
15184,-0.03021806977973919,-0.024765529187532002,-0.24957283598561822,-0.04696485355441231,"Chambersburg, PA",Temperate,False
15211,-0.004834180736275937,-0.01018191975372359,-0.05706159217397896,-0.03654713644147579,"Champaign, IL",Snow,False
15481,-0.00033613095292058545,-0.005387063003530981,0.006412106273640699,-0.009209055616666031,"Charleston, WV",Temperate,False
15508,-0.005111515895269344,0.0020161476938286085,-0.05962553199844855,0.011618247836545288,"Charleston--North Charleston, SC",Temperate,True
15670,0.00013426003067640408,0.0025265701633276193,-0.01291429436116019,0.005640859013470071,"Charlotte, NC--SC",Temperate,False
15724,-0.009073426558103817,-0.007235016887773637,-0.07427392810578794,-0.019749394881055676,"Charlottesville, VA",Temperate,False
15832,-0.02114762492000212,-0.014343067301810437,-0.10985976510937216,-0.01993285020074548,"Chattanooga, TN--GA",Temperate,False
16237,-0.009409441012873264,-0.010236652498801227,0.014675148649361884,-0.014080758681564495,"Cheyenne, WY",Arid,False
16264,-0.004742372099762882,-0.004148359067758346,-0.04299754185225882,-0.01222334418537111,"Chicago, IL--IN",Snow,False
16318,-0.00439666305538653,-0.01768214642496054,-0.0006925008993829083,-0.016725925530342637,"Chico, CA",Temperate,False
16885,-0.005298624120199483,-0.006528545357298991,-0.046241038988049904,-0.016488241184080286,"Cincinnati, OH--KY--IN",Temperate,False
17317,-0.008162369676754447,-0.00779483905674438,-0.10692098748336369,-0.024169860326706726,"Clarksville, TN--KY",Temperate,False
17668,-0.011409068468134309,-0.012348287535272486,-0.09169460721212551,-0.02868538014491369,"Cleveland, OH",Snow,False
17722,-0.014178552377032142,-0.012097474822645938,-0.2047353219784954,-0.048245779368201014,"Cleveland, TN",Temperate,False
18451,-0.05833021206636455,-0.03046418512576454,-0.16645990340857292,-0.045391975854198255,"Coeur d'Alene, ID",Snow,False
18748,-0.009596459282151235,-0.005608843027507614,-0.06872179814052541,-0.02359618850896586,"College Station--Bryan, TX",Temperate,False
18856,-0.03503469139040169,-0.029456811516055118,-0.0759227920496108,-0.04345617362184298,"Colorado Springs, CO",Temperate,False
18937,-0.012405868966302197,-0.012505010423774474,-0.1487889289998512,-0.04457214933180551,"Columbia, MO",Snow,False
18964,-0.007914633265598315,0.00032613999709391387,-0.05705413648780375,0.014236036140977936,"Columbia, SC",Temperate,False
19099,-0.012392023372423988,-0.008333713957963399,-0.0976755686998984,-0.0246516057224,"Columbus, GA--AL",Temperate,False
19126,-0.006581288394637635,0.00027507735555334565,-0.020581341518842368,0.003462650562613256,"Columbus, IN",Temperate,False
19234,-0.007487498897792846,-0.008060105915681529,-0.06509389446029157,-0.02074389641875314,"Columbus, OH",Snow,False
19504,-0.018059249241674555,-0.010846561103321866,-0.040750868103808874,-0.01288172012881976,"Concord, CA",Temperate,True
19558,0.0006021244241302042,0.00046330051158414206,-0.02000498745547272,-0.005742775107955483,"Concord, NC",Temperate,False
19755,0.0014238589713267624,0.0019099495302156266,0.016114316255680893,0.006324974214069462,"Conroe--The Woodlands, TX",Temperate,False
19801,-0.020309266082392235,-0.014970347083768487,-0.15604238384172406,-0.04646635163309337,"Conway, AR",Temperate,False
20287,-0.003145777634278951,-0.0033972812114536665,-0.04353660572741079,-0.013309476574850026,"Corpus Christi, TX",Temperate,True
20422,-0.035993430513576584,-0.0033930748607245396,-0.13145686693467773,-0.00020760705706405347,"Corvallis, OR",Temperate,False
21745,-0.05795283526215125,-0.052493033008976925,-0.20121581180912163,-0.0509442192432553,"Cumberland, MD--WV--PA",Temperate,False
22042,-0.0018607292951071327,-0.0009373493123414246,-0.007577460910281856,-0.0008435627755841833,"Dallas--Fort Worth--Arlington, TX",Temperate,False
22069,-0.04452915292862466,-0.03075673201906522,-0.2840113574258992,-0.049806596895002546,"Dalton, GA",Temperate,False
22096,-0.010511711855721738,-0.0059450453957237085,-0.0900451618092627,-0.012173080393644932,"Danbury, CT--NY",Temperate,False
